ProductGroup,year,Quantityintonnes,Valueinthousandeuro,Value_per_tonne
Dairy spreads,2012,942.697,3224.5420000000004,3.420549763073395
Dairy spreads,2013,2187.516,8065.477,3.6870482318757896
Dairy spreads,2014,1990.4950000000001,7747.59,3.8922931230673776
Dairy spreads,2015,1586.693,5931.88,3.738517785103987
Dairy spreads,2016,864.097,3413.55,3.9504245472441175
Dairy spreads,2017,1011.739,4482.871,4.430857167708273
Dairy spreads,2018,1008.186,5289.0560000000005,5.246111332631083
Dairy spreads,2019,1232.839,6205.115,5.033191681963339
Dairy spreads,2020,1761.4950000000001,8675.475,4.925063653317211
Dairy spreads,2021,1409.142,8441.756,5.990706401484023
Dairy spreads,2022,1133.944,9256.475,8.163079481879176
Dairy spreads,2023,1581.984,12231.437,7.731707147480632
Fermented milks,2010,9710.662,18655.845999999998,1.9211713887271535
Fermented milks,2011,11085.686,24296.025999999998,2.191657422012494
Fermented milks,2012,13331.675,25931.203,1.945082144591734
Fermented milks,2013,12676.47,26348.232,2.078514917796516
Fermented milks,2014,12418.322,31370.67,2.526160136611049
Fermented milks,2015,10292.15,20111.078,1.954021074313919
Fermented milks,2016,16342.033,22596.092,1.382697734119127
Fermented milks,2017,13338.356,21494.124,1.6114522659314237
Fermented milks,2018,13640.063,22150.191,1.6239067957384068
Fermented milks,2019,17809.53,41676.362,2.340115769478476
Fermented milks,2020,15741.583,31192.828999999998,1.9815560480797896
Fermented milks,2021,16780.127,41453.705,2.470404723396909
Fermented milks,2022,15385.307999999999,55797.952,3.626703605803667
Fermented milks,2023,14759.415,35473.169,2.4034264908195886
Fresh milk,2010,156428.681,50391.505,0.3221372492426756
Fresh milk,2011,184429.426,59016.856,0.3199969618731015
Fresh milk,2012,168337.142,60192.202,0.35756934735175677
Fresh milk,2013,223482.434,86265.427,0.3860054030018305
Fresh milk,2014,133905.761,46729.657,0.34897420880943275
Fresh milk,2015,112030.26199999999,34229.906,0.3055416044639796
Fresh milk,2016,58855.405,25246.263,0.42895402724694526
Fresh milk,2017,113421.033,38759.268,0.3417291041600723
Fresh milk,2018,127678.64,39611.787,0.3102459972944574
Fresh milk,2019,182010.726,67003.155,0.36812750804587197
Fresh milk,2020,162749.03,62188.017,0.38210990873493994
Fresh milk,2021,192374.563,79412.552,0.4128017278459003
Fresh milk,2022,198716.31,113896.745,0.5731625401055404
Fresh milk,2023,152184.309,76415.28,0.502123251090229
Lactose,2010,1851.827,1252.645,0.6764373777896099
Lactose,2011,3534.557,3856.544,1.0910968474974374
Lactose,2012,2539.715,3551.009,1.3981919231094826
Lactose,2013,1991.4569999999999,3008.5,1.5107029677266444
Lactose,2014,1591.751,1721.741,1.081664782996838
Lactose,2015,288.077,261.528,0.9078406120585817
Lactose,2016,497.309,326.65999999999997,0.6568551946576474
Lactose,2017,522.76,428.91700000000003,0.8204855000382586
Lactose,2018,645.422,332.462,0.5151079448794742
Lactose,2019,727.136,522.719,0.7188737732693747
Lactose,2020,2696.086,2896.128,1.074197188071894
Lactose,2021,584.662,840.5120000000001,1.4376032647923074
Lactose,2022,398.19100000000003,868.097,2.1801020113463134
Lactose,2023,166.303,253.264,1.5229069830369868
Milk albumin,2010,1461.81,5461.595,3.7361866453232637
Milk albumin,2011,846.318,5093.639,6.018587575828471
Milk albumin,2012,787.361,4788.036,6.081119080066196
Milk albumin,2013,784.314,5807.433,7.4044744834339316
Milk albumin,2014,2122.328,15058.284,7.095172847929255
Milk albumin,2015,2180.826,7381.865,3.3848940722460203
Milk albumin,2016,3067.995,12958.018,4.223611185807018
Milk albumin,2017,1796.026,6761.855,3.7648981696256065
Milk albumin,2018,4106.586,19688.037,4.7942590268412735
Milk albumin,2019,4437.758,20188.843,4.549333920416571
Milk albumin,2020,5065.9039999999995,25370.436,5.008076742078019
Milk albumin,2021,3163.398,25579.609,8.086117839108452
Milk albumin,2022,3518.291,45518.578,12.937695602779872
Milk albumin,2023,1956.531,25181.054,12.870255569679193
Milk constituents,2010,1380.124,2462.473,1.7842404015871036
Milk constituents,2011,1418.4470000000001,3012.589,2.1238643389566194
Milk constituents,2012,1631.729,4335.373,2.6569197458646623
Milk constituents,2013,1825.958,6206.004,3.398766017619244
Milk constituents,2014,1747.8,5086.009,2.909949078841973
Milk constituents,2015,1419.912,4483.768,3.1577787919251334
